rank,title,singer,albem
1,헤어진 우리가 지켜야 할 것들,김나영,헤어진 우리가 지켜야 할 것들
2,Blueming,아이유,Love poem
3,늦은 밤 너의 집 앞 골목길에서,노을,늦은 밤 너의 집 앞 골목길에서
4,"Into the Unknown (From ""Frozen 2""/Soundtrack Version)",Idina Menzel,Frozen 2 (Original Motion Picture Soundtrack/Deluxe Edition)
5,Love poem,아이유,Love poem
6,HIP,마마무(Mamamoo),reality in BLACK
7,이 번호로 전화해줘,바이브,이 번호로 전화해줘
8,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악동뮤지션),항해
9,Obsession,EXO,OBSESSION - The 6th Album
10,"Show Yourself (From ""Frozen 2""/Soundtrack Version)",Idina Menzel,Frozen 2 (Original Motion Picture Soundtrack/Deluxe Edition)
11,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3
12,시간의 바깥,아이유,Love poem
13,조금 취했어 (Prod. 2soo),임재현,조금 취했어
14,"인기 (Feat. 송가인, 챈슬러)",MC몽,CHANNEL 8
15,새 사랑,송하예,새 사랑
16,사랑이란 멜로는 없어,전상근,사랑이란 멜로는 없어
17,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB),Red Moon : To You My Light
18,있어줘요,장덕철,있어줘요
19,불티 (Spark),태연 (TAEYEON),Purpose - The 2nd Album
20,안녕,폴킴,호텔 델루나 OST Part.10
21,제설,기리보이,치명적인 앨범 Ⅲ
22,unlucky,아이유,Love poem
23,이별주,황인욱,이별주
24,와츠롱 (Feat. YUNHWAY),기리보이,치명적인 앨범 Ⅲ
25,시든 꽃에 물을 주듯,HYNN (박혜원),시든 꽃에 물을 주듯
26,"숨겨진 세상 (Into the Unknown End Credit Version) (""겨울왕국 2"")",태연 (TAEYEON),겨울왕국 2 (한국어 버전)
27,차가워진 이 바람엔 우리가 써있어(Bad Love),HYNN (박혜원),차가워진 이 바람엔 우리가 써있어(Bad Love)
28,작은 것들을 위한 시 (Boy With Luv) feat. Halsey,방탄소년단,MAP OF THE SOUL : PERSONA
29,포장마차,황인욱,포장마차
30,Trouble,EXO,OBSESSION - The 6th Album
31,니 소식,송하예,니 소식
32,다시 만날까 봐,V.O.S,다시 만날까 봐
33,춤 (Groove),EXO,OBSESSION - The 6th Album
34,2002,Anne-Marie,Speak Your Mind (Deluxe)
35,지킬 (Jekyll),EXO,OBSESSION - The 6th Album
36,"FEVER (Feat. 수퍼비, BIBI)",박진영,FEVER
37,그 사람,아이유,Love poem
38,워커홀릭,볼빨간사춘기,Two Five
39,나비효과 (Butterfly Effect),EXO,OBSESSION - The 6th Album
40,잘 살고 있다,V.O.S,잘 살고 있다
41,LION,(여자)아이들,퀸덤 <FINAL 컴백 싱글>
42,Ya Ya Ya,EXO,OBSESSION - The 6th Album
43,오늘도 (Day After Day),EXO,OBSESSION - The 6th Album
44,Non Stop,EXO,OBSESSION - The 6th Album
45,Baby You Are,EXO,OBSESSION - The 6th Album
46,사랑에 연습이 있었다면 (Prod. 2soo),임재현,사랑에 연습이 있었다면
47,All I Want For Christmas Is You,Mariah Carey,Merry Christmas (Deluxe Anniversary Edition)
48,사랑이 식었다고 말해도 돼,먼데이 키즈 (Monday Kiz),사랑이 식었다고 말해도 돼
49,자장가,아이유,Love poem
50,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,`키스 먼저 할까요?` OST Part.3
51,샤넬 (Feat. 박봄),MC몽,CHANNEL 8
52,마음,폴킴,마음
53,기억해줘요 내 모든 날과 그때를,거미,호텔 델루나 OST Part.7
54,허전해,폴킴,"정규 2집 '마음, 하나'"
55,Señorita,Shawn Mendes,Señorita
56,BAND,창모 (CHANGMO),BAND
57,bad guy,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?"
58,가을밤 떠난 너,케이시 (Kassy),Rewind
59,헤어지자 (Prod. 정키),휘인 (Whee In),soar
60,Feel Special,TWICE (트와이스),Feel Special
61,술이 문제야,장혜진,술이 문제야
62,날 보러 와요 (Come See Me),AOA,NEW MOON
63,Santa Tell Me,Ariana Grande,Santa Tell Me
64,너를 만나,폴킴,너를 만나
65,별이지고있다,기리보이,치명적인 앨범 Ⅲ
66,그대라는 시,태연 (TAEYEON),호텔 델루나 OST Part.3
67,METEOR,창모 (CHANGMO),Boyhood
68,영화 속에 나오는 주인공처럼,펀치 (Punch),동백꽃 필 무렵 (KBS2 수목드라마) OST - Part.6
69,"Some Things Never Change (From ""Frozen 2""/Soundtrack Version)",Kristen Bell,Frozen 2 (Original Motion Picture Soundtrack/Deluxe Edition)
70,사계 (Four Seasons),태연 (TAEYEON),사계 (Four Seasons)
71,꿈속에 너 (Feat. 전상근),에이치코드 (H:CODE),두 번째 이야기
72,Paris In The Rain,Lauv,I met you when I was 18. (the playlist)
73,떨어지는 낙엽까지도,헤이즈 (Heize),만추
74,우리 어떻게 할까요,첸 (CHEN),사랑하는 그대에게 - The 2nd Mini Album
75,봄날,방탄소년단,YOU NEVER WALK ALONE
76,벗,닐로(Nilo),벗
77,Speechless (Full),Naomi Scott,Aladdin (Original Motion Picture Soundtrack)
78,이별은 늘 그렇게 (Duet. 정은지),허각,이별은 늘 그렇게
79,"거지 (Feat. YUNHWAY, Jhnovr, JUSTHIS)",기리보이,치명적인 앨범 Ⅲ
80,이때다,기리보이,치명적인 앨범 Ⅲ
81,헤어져줘서 고마워,벤,헤어져줘서 고마워
82,나의 어깨에 기대어요,10cm,호텔 델루나 OST Part.2
83,이별행동,이우,이별행동
84,嗜 (Obsession),EXO,OBSESSION - The 6th Album
85,"천둥벌거숭이 (Feat. Jvcki Wai, 염따)",지코 (ZICO),THINKING Part.1
86,5월의 밤,Zion.T,5월의 밤
87,터널,세정,Dingo X 세정
88,솔직하게 말해서 나,김나영,솔직하게 말해서 나
89,맵고짜고단거 (Feat. 페노메코),다이나믹 듀오,OFF DUTY
90,증오 (Feat. 안병웅),기리보이,치명적인 앨범 Ⅲ
91,미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ),아이유,Real
92,IDOL,방탄소년단,LOVE YOURSELF 結 `Answer`
93,안녕이라는 말,송이한,안녕이라는 말
94,그때가 좋았어,케이시 (Kassy),그때가 좋았어
95,내 생애 가장 행복한 시간 Part.2 (Feat. 양다일),MC몽,CHANNEL 8
96,주저하는 연인들을 위해,잔나비,전설
97,너에게 못했던 내 마지막 말은,다비치,너에게 못했던 내 마지막 말은
98,써니데이 (Feat. nafla),기리보이,치명적인 앨범 Ⅲ
99,"All Is Found (From ""Frozen 2""/Soundtrack Version)",Evan Rachel Wood,Frozen 2 (Original Motion Picture Soundtrack/Deluxe Edition)
100,집으로,기리보이,치명적인 앨범 Ⅲ
